id,file,date,algorithm,initialization,centroids (k),fuzzy weight (m),stopping_criterion,init_time,algorithm_time,iteration
TEST01,data/affitti115.csv,2020/06/13 02:27:29,fuzzy-cmeans,random,3,1.5,biggest-diff,0.6414227485656738,305.4797406196594,34
TEST01,data/affitti115.csv,2020/06/13 02:29:35,fuzzy-cmeans,random,3,3,biggest-diff,0.6414227485656738,126.24860858917236,14
TEST01,data/affitti115.csv,2020/06/13 02:33:18,fuzzy-cmeans,random,3,2,biggest-diff,0.6414227485656738,223.14436531066895,25
TEST01,data/affitti115.csv,2020/06/13 02:37:26,kmeans,random,4,-,biggest-diff,0.7292695045471191,247.149010181427,50*
TEST01,data/affitti115.csv,2020/06/13 02:46:22,fuzzy-cmeans,random,4,1.5,biggest-diff,0.7292695045471191,535.9774856567383,50*
TEST01,data/affitti115.csv,2020/06/13 02:48:43,fuzzy-cmeans,random,4,3,biggest-diff,0.7292695045471191,140.53758573532104,13
TEST01,data/affitti115.csv,2020/06/13 02:52:45,fuzzy-cmeans,random,4,2,biggest-diff,0.7292695045471191,242.20745491981506,22
TEST01,data/affitti115.csv,2020/06/13 02:57:01,kmeans,random,5,-,biggest-diff,0.5841808319091797,255.65413999557495,50*
TEST01,data/affitti115.csv,2020/06/13 03:07:16,fuzzy-cmeans,random,5,1.5,biggest-diff,0.5841808319091797,615.4641139507294,50*
TEST01,data/affitti115.csv,2020/06/13 03:10:22,fuzzy-cmeans,random,5,3,biggest-diff,0.5841808319091797,185.5089831352234,14
TEST01,data/affitti115.csv,2020/06/13 03:15:42,fuzzy-cmeans,random,5,2,biggest-diff,0.5841808319091797,320.0551526546478,25
TEST01,data/affitti15.csv,2020/06/13 03:17:54,kmeans,random,3,-,biggest-diff,0.08134627342224121,131.5863914489746,44
TEST01,data/affitti15.csv,2020/06/13 03:19:36,fuzzy-cmeans,random,3,1.5,biggest-diff,0.08134627342224121,101.69678044319153,40
TEST01,data/affitti15.csv,2020/06/13 03:20:08,fuzzy-cmeans,random,3,3,biggest-diff,0.08134627342224121,32.48863506317139,13
TEST01,data/affitti15.csv,2020/06/13 03:21:04,fuzzy-cmeans,random,3,2,biggest-diff,0.08134627342224121,55.60840821266174,22
TEST01,data/affitti15.csv,2020/06/13 03:23:31,kmeans,random,4,-,biggest-diff,0.10405278205871582,147.0079882144928,49
TEST01,data/affitti15.csv,2020/06/13 03:25:46,fuzzy-cmeans,random,4,1.5,biggest-diff,0.10405278205871582,135.63373732566833,50*
TEST01,data/affitti15.csv,2020/06/13 03:26:24,fuzzy-cmeans,random,4,3,biggest-diff,0.10405278205871582,38.05075120925903,14
TEST01,data/affitti15.csv,2020/06/13 03:27:32,fuzzy-cmeans,random,4,2,biggest-diff,0.10405278205871582,67.8015546798706,25
TEST01,data/affitti15.csv,2020/06/13 03:30:05,kmeans,random,5,-,biggest-diff,0.11627769470214844,152.19757056236267,50*
TEST01,data/affitti15.csv,2020/06/13 03:32:28,fuzzy-cmeans,random,5,1.5,biggest-diff,0.11627769470214844,143.61816930770874,50*
TEST01,data/affitti15.csv,2020/06/13 03:33:08,fuzzy-cmeans,random,5,3,biggest-diff,0.11627769470214844,40.12031078338623,14
TEST01,data/affitti15.csv,2020/06/13 03:34:24,fuzzy-cmeans,random,5,2,biggest-diff,0.11627769470214844,75.29658675193787,26
TEST01,data/affitti30.csv,2020/06/13 03:35:32,kmeans,random,3,-,biggest-diff,0.2079615592956543,68.2155168056488,21
TEST01,data/affitti30.csv,2020/06/13 03:37:40,fuzzy-cmeans,random,3,1.5,biggest-diff,0.2079615592956543,128.11263966560364,37
TEST01,data/affitti30.csv,2020/06/13 03:38:25,fuzzy-cmeans,random,3,3,biggest-diff,0.2079615592956543,44.96774435043335,13
TEST01,data/affitti30.csv,2020/06/13 03:39:41,fuzzy-cmeans,random,3,2,biggest-diff,0.2079615592956543,76.16978740692139,22
TEST01,data/affitti30.csv,2020/06/13 03:41:10,kmeans,random,4,-,biggest-diff,0.1945180892944336,88.5299174785614,27
TEST01,data/affitti30.csv,2020/06/13 03:43:37,fuzzy-cmeans,random,4,1.5,biggest-diff,0.1945180892944336,147.39210653305054,38
TEST01,data/affitti30.csv,2020/06/13 03:44:28,fuzzy-cmeans,random,4,3,biggest-diff,0.1945180892944336,50.288901805877686,13
